Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B6,Ahli konservasi,Future Job,"Ahli konservasi mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan. Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya. memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Software Engineering,Future Job,Mengaplikasikan prinsip matematikan dan science untuk mengembangkan software dan memecahkan masalah,Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Manajer Layanan Teknologi Informasi Dan Komunikasi,Future Job,"merencanakan, mengarahkan dan
 mengkoordinasikan akuisisi, pengembangan, pemeliharaan dan penggunaan sistem komputer dan
 telekomunikasi.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Programmer/Pengembang perangkat lunak,Future Job,"menerapkan prosedur pemrograman standar untuk mengembangkan suatu perangkat lunak. Mengembangkan, memodifikasi dan memelihara program; memonitor pengoperasian program; menganalisa kebutuhan pengguna serta implementasi, instalasi dan pelatihan yang berkaitan
 dengan perangkat lunak baru",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Spesialis Forensik Digital,Future Job,"memeriksa berbagai bukti digital, termasuk foto dan video, perangkat digital, komputer dan jaringan data untuk kpenetingan investigasi terhadap tindakan kriminal menggunakan media digital.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Analis Kebijakan dan Standarisasi IT,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Pengelola IT,Future Job,"Merumuskan dan melaksanakan kebijakan, menyusun norma, standar, prosedur, kriteria penyelenggaraan TIK, melaksanakan bimbingan teknis, supervisi, pemantauan, evaluasi, dan pelaporan, pengembangan akses intranet dan internet, layanan sistem komunikasi intra Pemerintah, layanan pengembangan dan pengelolaan aplikasi terintegrasi, Pengembangan Sumber Daya TIK dan Masyarakat",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,AI/Spesialis/teknisi Robotik,Future Job,"membangun, menginstal, menguji, atau memelihara peralatan robotik atau sistem produksi otomatis terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Ahli Keamanan Siber,Future Job,"memantau jaringan dan sistem, mendeteksi ancaman keamanan, menganalisis dan melaporkan ancaman, dan upaya penyusupan, tergantung pada tingkat keparahannya. merancang berbagai strategi dan sistem pertahanan terhadap penyusup, termasuk memonitor sistem untuk setiap aktivitas yang tidak biasa. mengembangkan lapisan perlindungan baru dan memperbarui sistem keamanan,  menjalankan diagnostik pada setiap perubahan informasi untuk memverifikasi pelanggaran yang tidak terdeteksi.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Kelautan,Penguatan Keamanan Laut di Natuna,Analis keamanan laut,Future Job,"Menerapkan Sistem Manajemen Keselamatan dan Kesehatan Kerja dan Lingkungan (SMK3-L); Mempersiapkan referensi yang relevan di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan penyusunan norma, standar, prosedur, dan kriteria di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan pemberian bimbingan teknis di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan pelaksanaan evaluasi dan pelaporan di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Melakukan pendampingan penyusunan naskah akademis dan naskah rancangan peraturan terkait perizinan pemanfaatan ruang laut; Menyusun laporan; Menggunakan teknologi komputasi dan informasi; Menerapkan teknik komunikasi. Membuat dokumentasi hasil kajian; Merumuskan rekomendasi teknis perencanaan ruang laut; Mengembangkan tata ruang Laut; Mengembangkan rencana zonasi kawasan strategis; Mengembangkan rencana zonasi wilayah pesisir dan pulau-pulau kecil; Mengembangkan perijinan pemanfaatan ruang laut",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Kelautan,Penguatan Keamanan Laut di Natuna,Perencana dan pemanfaatan ruang laut,Future Job,"Ahli teknik konstruksi kapal mempelajari, merancang dan memberi petunjuk badan dan reka bentuk kapal, dan bangunan bagian kapal dan angkutan laut lainnya, serta merencanakan dan mengawasi pengembangan, pemasangan, pemeliharaan dan perbaikannya. Melakukan tugas yang sejenis dengan ahli teknik mesin (umum) tetapi mengkhususkan sebagai ahli di bidang perencanaan, pembuatan kapal, konsultasi dengan ahli teknik mesin kapal untuk mengkoordinasikan perencanaan kapal. Dapat mengkhususkan sebagai ahli di bidang angkutan laut tertentu seperti kapal perang, kapal pengangkut atau kapal penumpang.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Kelautan,Penguatan Keamanan Laut di Natuna,Ahli teknik konstruksi kapal,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 7
Visi Reformasi Birokrasi,,Analis Kelembagaan,Future Job,"membantu organisasi untuk mencapai efisiensi yang lebih besar dan memecahkan masalah organisasi. mempelajari struktur, metode, sistem dan prosedur organisasi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Analis Reformasi Birokrasi,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Penata Kehakiman,Future Job,"melaksanakan dukungan teknis operasional dalam rangka menjaga dan menegakkan kehormatan, keluhuran martabat, serta perilaku hakim, dan mengusulkan pengangkatan Hakim Agung, dan Hakim Ad hoc di Mahkamah Agung",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Keuangan,,Analis Media Sosial/Komunikasi Publik dan publikasi media,Future Job,"Melaksanakan penyiapan koordinasi, fasilitasi perumusan dan pelaksanaan kebijakan, evaluasi serta pelaporan pelaksanaan pengelolaan opini dan aspirasi publik di lingkup pemerintah, pengelolaan informasi untuk mendukung kebijakan nasional dan pemerintah, pelayanan informasi publik, layanan infrastruktur dasar data center, layanan hubungan media, penguatan kapasitas sumber daya sub domain bagi lembaga, pengembangan sumber daya TIK Pemerintah, layanan pengembangan intranet dan penggunaan akses internet serta layanan pengembangan dan pengelolaan aplikasi generic, spesifik dan suplemen yang terintegrasi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Keuangan,, ,Future Job,"Melakukan eksperimen, pengujian dan analisis untuk menentukan komposisi kimia suatu organisme hidup, unsur kimia dari proses vital mereka seperti pernafasan, pencernaan, pertumbuhan dan penuaan, reaksi kimia dari makanan, obat, serum, hormon, persenyawaan lain pada jaringan dan proses vital mereka, aspek kimia dari pembentukan antibody dalam darah, dan fenomena biokimia lain, pengembangan metode baru atau disempurnakan untuk pengawetan makanan dan minuman, pembuatan serum, vaksin, hormone dan ekstrak kelenjar pituitary dan thyroid, pemurnian air dan pembuangan kotoran; mengembangkan pengetahuan terapan dari biokimia di bidang industri, kedokteran, kesehatan masyarakat dan lain-lain.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
